# BiaEye Waste Detection System - Requirements
# Python 3.8+ required

# Core Deep Learning & Computer Vision
ultralytics>=8.0.0          # YOLO11 implementation
opencv-python>=4.8.0        # Computer vision library
torch>=2.0.0                # PyTorch for deep learning
torchvision>=0.15.0         # PyTorch vision utilities

# Image Processing & Visualization
numpy>=1.24.0               # Numerical computing
matplotlib>=3.7.0           # Plotting and visualization
Pillow>=10.0.0              # Image processing
pandas>=2.0.0               # Data analysis for results

# Optional: GPU Acceleration
# Uncomment if you have NVIDIA GPU with CUDA
# onnxruntime-gpu>=1.16.0   # GPU-accelerated inference

# Optional: Additional Features
# Uncomment if needed
# playsound>=1.3.0          # For audio alerts
# twilio>=8.0.0             # For SMS alerts
# smtplib                   # For email alerts (built-in)
# psutil>=5.9.0             # System monitoring

# Development Tools (optional)
# jupyter>=1.0.0            # For notebook-based analysis
# seaborn>=0.12.0           # Enhanced visualization
# scikit-learn>=1.3.0       # ML utilities
